標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
施羅德全週期成長多重資產基金(新台幣)-配息型(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金)_(月配/單位數_僅供一生傳富、招財進保、世紀贏家商品連結),ACES95-TF6X,台幣,多重資產型,2021/01/11,RR3,月配,2026/06/30,11.07,9.77,9.27,22.95,46.09,49.3,10,0.58,0.57,2026/05/31,22.4928億,3,僅供一生傳富/招財進保/世紀贏家商品連結
貝萊德世界金融基金 A10美元(總報酬穩定配息)(基金之配息來源可能為本金)_(月配/單位數_僅供一生傳富、招財進保、世紀贏家商品連結),SHZV5-TF6Y,美元,金融股,2022/10/19,RR4,月配,2026/06/30,19.32,21.29,2.39,19.68,123.73,166.33,20.82,0.26,1.36,2026/04/30,"2,563.00百萬",4,僅供一生傳富/招財進保/世紀贏家商品連結
景順日本小型企業基金 A(美元對沖)股 美元,CTZH8-TFA1,美元,中小型股,2014/07/23,RR4,無,2026/06/30,39.28,22.52,37.25,48.11,104.26,292.8,27.44,0.44,0.74,2026/04/30,"16,080.00百萬",4.5,
景順歐洲大陸小型企業基金A(美元對沖)股 美元,CTZJ1-TFA2,美元,中小型股,2014/10/08,RR4,無,2026/06/30,32.39,13.25,0.4,-1.64,36.67,223.9,18.96,-0.02,1.02,2026/04/30,223.00百萬,1.5,
景順環球消費趨勢基金A股 美元,ISZ04-TFA3,美元,非必需消費股,1994/10/03,RR4,無,2026/06/30,104.86,32.1,11.26,19.42,77.07,N/A,32.81,0.19,1.01,2026/04/30,"1,850.00百萬",5,
摩根基金 - 美國小型企業股票基金 - JPM美國小型企業股票(美元) - A股(累計),JFZG5-TFA5,美元,股票型,2005/03/31,RR4,無,2026/06/29,35.13,15.94,8.49,9.13,18.52,251.3,14.58,0.17,0.67,2026/04/30,787.00百萬,1.5,
摩根基金 - 美國科技基金 - JPM美國科技(美元) - A股(累計),JFZG4-TFA6,美元,股票型,2005/03/31,RR4,無,2026/06/29,155.82,34.55,14.21,24.07,96.62,1458.2,30.11,0.23,1.63,2026/04/30,"9,126.00百萬",4,
摩根基金 - 環球醫療科技基金 - JPM環球醫療科技(美元) - A股(累計),JFZD2-TFA7,美元,健康護理股,2009/10/02,RR3,無,2026/06/29,552.06,10.25,2.87,19.5,18.73,481.67,14.94,0.34,0.89,2026/04/30,"3,219.00百萬",2.5,
聯博-全球靈活收益基金A2級別美元(基金之配息來源可能為本金),ALBJ1-TFA8,美元,債券型,2012/02/03,RR2,無,2026/06/30,19.37,2,1.04,2.27,11.39,29.13,3.53,0.09,1.01,2026/05/31,"1,153.00百萬",3,
聯博-聚焦美國股票基金A級別美元(基金之配息來源可能為本金),ALH38-TFA9,美元,股票型,2013/12/23,RR4,無,2026/06/30,44.98,6.49,-7.94,-7.3,15.36,199.87,14.39,-0.16,0.73,2026/05/31,242.00百萬,1,
美元貨幣帳戶,TFAD-TFAD,美元,貨幣帳戶,-,RR1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
瀚亞投資-大中華股票基金 A(美元),IOF20-TFAI,美元,股票型,2005/02/23,RR5,無,2026/06/30,36.686,25.41,25.83,54.65,82.52,266.86,23.32,0.56,1.33,2026/04/30,94.00百萬,5,
瀚亞非洲基金-新臺幣,ACCP31-TFAN,台幣,跨國投資股票型區域型,2008/10/08,RR5,無,2026/06/30,36.17,5.54,2.99,36.39,67.92,261.7,19.51,0.47,0.57,2026/05/31,5.1013億,2,
瀚亞投資-美國優質債券基金 A(美元),IOF04-TFAO,美元,公司債券,2005/03/01,RR2,無,2026/06/30,21.3,1.73,0.74,4.36,16.41,113,3.46,0.26,1.03,2026/04/30,417.00百萬,3,
貝萊德拉丁美洲基金 A2 美元,SHZ17-TFAP,美元,股票型,1997/01/09,RR5,無,2026/06/30,79.83,-3.11,3.85,12.34,10.97,N/A,23.21,0.16,1.03,2026/04/30,704.00百萬,1.5,
貝萊德世界黃金基金 A2 美元,SHZ18-TFAQ,美元,貴重金屬,1994/12/30,RR5,無,2026/06/30,87.45,-11.32,-12.8,50.59,163.4,N/A,46.6,0.31,0.88,2026/04/30,"11,254.00百萬",2,
摩根全球平衡基金,ACJF90-TFAS,台幣,股票債券平衡型跨國投資型,2003/12/09,RR3,無,2026/06/30,18.6569,8.38,10.14,23.27,27.21,86.57,8.25,0.71,0.39,2026/05/31,8.102億,2.5,
富蘭克林坦伯頓全球投資系列-全球債券基金美元A(acc)股(本基金之配息來源可能為本金),FLZ68-TFAT,美元,債券型,2006/04/28,RR2,無,2026/06/30,28.08,3.54,1.74,4.43,8.29,86.08,8.5,0.12,1.93,2026/05/29,"2,508.00百萬",3.5,
歐元貨幣帳戶,TFAY-TFAY,歐元,貨幣帳戶,-,RR1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
聯博-優化波動股票基金A級別美元(基金之配息來源可能為本金),ALH37-TFB1,美元,股票型,2012/12/11,RR3,無,2026/06/30,52.67,10.81,0.69,5.07,40.6,251.13,14.22,0.09,0.84,2026/05/31,"7,185.00百萬",2,
安聯收益成長基金-AT累積類股(美元)(本基金有相當比重投資於非投資等級之高風險債券),TLZ63-TFB2,美元,平衡型,2011/11/18,RR3,無,2026/06/30,31.3956,11.87,7.72,14.72,39.63,213.96,10,0.38,0.7,2026/05/31,"58,803.00百萬",2.5,
安聯歐陸成長基金-AT累積類股(美元避險),TLZA2-TFB3,美元,股票型,2013/12/04,RR4,無,2026/06/30,22.0137,15.11,2.67,-0.62,6.94,120.14,17.52,-0.01,0.92,2026/05/31,215.00百萬,1,
貝萊德新興市場基金 A2 美元,SHZ16-TFBB,美元,股票型,1993/12/01,RR5,無,2026/06/30,60.67,30.39,29.33,50.06,63.53,N/A,26.59,0.47,1.39,2026/04/30,816.00百萬,2.5,
貝萊德環球資產配置基金 A2 美元,SHZB2-TFBC,美元,平衡型,1997/01/03,RR3,無,2026/06/30,98.94,11.66,5.98,14.22,42.71,606.21,12.22,0.3,0.73,2026/04/30,"18,137.00百萬",2.5,
瀚亞巴西基金,ACCP32-TFBE,台幣,跨國投資股票型單一國家,2010/01/06,RR5,無,2026/06/30,6.85,-6.68,7.03,23.87,15.91,-31.5,27.34,0.25,1.43,2026/05/31,7.7277億,1.5,
瀚亞中小型股基金,ACCP10-TFBF,台幣,國內股票開放型中小型,1998/04/03,RR5,無,2026/07/01,171.92,46.59,100.58,216.73,315.27,1619.2,31.35,1.14,0.89,2026/05/31,37.7032億,3,
瀚亞投資-中印股票基金 A(美元),IOF24-TFBG,美元,股票型,2005/10/17,RR5,無,2026/06/30,31.924,0.79,-11.11,-6.15,16.85,N/A,13.88,-0.14,0.64,2026/04/30,559.00百萬,,
富蘭克林坦伯頓全球投資系列-金磚國家基金美元A (acc)股,FLZA0-TFBH,美元,股票型,2005/10/25,RR5,無,2026/06/30,27.09,8.14,1.88,13.92,55.6,170.9,19.31,0.2,1.07,2026/05/29,455.00百萬,4.5,
凱基台商天下基金,ACKG11-TFBI,台幣,跨國投資股票型區域型,2007/05/08,RR5,無,2026/06/30,70.95,50.99,96.48,194.77,242.09,609.5,31.52,1.06,1.22,2026/05/31,7.4813億,5,
普徠仕（盧森堡）系列基金－普徠仕亞洲(日本除外)股票基金A級別(美元)(原名稱：普徠仕（盧森堡）系列基金－普徠仕亞洲(除日本除外)股票社會責任基金A級別(美元)),MAR01-TFBK,美元,股票型,2008/01/28,RR5,無,2026/06/30,26.72,34.2,30.79,49.61,68.47,167.2,26.63,0.47,1.21,2026/04/30,116.00百萬,2.5,
普徠仕（盧森堡）系列基金－普徠仕全球天然資源股票基金A級別(美元),MAR04-TFBL,美元,股票型,2007/11/05,RR4,無,2026/06/30,13.54,-6.04,13.12,27.38,41.19,35.4,14.53,0.48,0.07,2026/04/30,120.00百萬,4,
凱基新興趨勢ETF組合基金,ACKG16-TFBW,台幣,全球組合型其他,2010/08/09,RR4,無,2026/06/30,12.81,28.1,31.65,56.41,71.26,28.1,21.59,0.62,1.09,2026/05/31,1.4142億,4.5,
貝萊德美國中型企業價值基金A2 美元(原名稱：貝萊德美國特別時機基金 A2 美元),SHZ12-TFCF,美元,股票型,1987/05/13,RR4,無,2026/06/30,462.56,16.95,10.9,19.69,40.94,N/A,12.95,0.39,0.64,2026/04/30,339.00百萬,2.5,
貝萊德歐洲特別時機基金 A2 歐元,SHZF5-TFCG,歐元,股票型,2002/10/14,RR4,無,2026/06/30,67.44,19.81,11.84,5.41,12.61,561.18,18.42,0.09,0.97,2026/04/30,657.00百萬,1,
摩根基金－環球天然資源基金 - JPM 環球天然資源(美元)－A股(累計),JFH30-TFCH,美元,天然資源,2006/09/12,RR4,無,2026/06/29,21,-9.56,9.72,40.47,63.81,65.35,27.02,0.39,0.56,2026/04/30,"1,785.00百萬",3.5,
