"標的名稱","代碼","幣別","類型","成立日期","風險收益等級","配息頻率","淨值日期","淨值","三個月(%)","六個月(%)","一年(%)","三年(%)","成立以來(%)","年化標準差","年化Sharpe","年化Beta","規模日期","基金規模","嘉實基金評等","備註"
"凱基雲端趨勢基金(美元)","TF11","美元","跨國投資股票型全球市場","2018/01/02","RR4","無","2026/05/08","85.0269","36.33","43.72","87.53","179.23","342.45","21.71","0.87","1.9","2026/03/31","0.2225億","4.5",""
"凱基臺灣多元收益多重資產基金-新臺幣A","TF14","台幣","多重資產型","2019/08/05","RR3","無","2026/05/11","16.6","14.25","23.79","34.52","52.85","66","8.03","1.05","0.31","2026/03/31","3.7264億","3",""
"凱基收益成長多重資產基金-新臺幣A(累積)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)","TF15","台幣","多重資產型","2019/09/25","RR3","無","2026/05/08","15.5117","3.42","5.39","21.15","46.72","55.12","6.27","0.84","0.54","2026/03/31","5.6723億","3",""
"凱基收益成長多重資產基金-美元A(累積)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)","TF16","美元","多重資產型","2019/09/25","RR3","無","2026/05/08","17.1898","4.15","5.29","20.35","54.44","71.91","6.63","0.77","0.7","2026/03/31","4.2396億","2.5",""
"普徠仕（盧森堡）系列基金－普徠仕全球焦點成長股票基金A級別(美元)","TF17","美元","股票型","2003/03/28","RR4","無","2026/05/08","114.95","14.45","18.84","40.29","86.46","1049.5","12.9","0.76","1.29","2026/03/31","3887.00百萬(美元)","4.5",""
"普徠仕（盧森堡）系列基金－普徠仕新興市場股票基金A級別(美元)","TF18","美元","股票型","2004/10/26","RR5","無","2026/05/08","40.63","15.56","30.52","58.77","54.31","306.3","13.56","0.99","1.3","2026/03/31","129.00百萬(美元)","2.5",""
"普徠仕（盧森堡）系列基金－普徠仕全球成長股票基金A級別(美元)","TF19","美元","股票型","2008/10/27","RR4","無","2026/05/08","84.07","7.95","10.31","26.61","66.24","740.7","11.79","0.57","1.29","2026/03/31","383.00百萬(美元)","3.5",""
"凱基新興市場中小基金(美元)","TF1Y","美元","跨國投資股票型區域型","2018/01/02","RR5","無","2026/05/08","44.8705","37.18","58.59","126.57","156.84","141.99","17.62","1.39","1.05","2026/03/31","0.4189億","5",""
"凱基雲端趨勢基金(台幣)","TF1Z","台幣","跨國投資股票型全球市場","2012/09/13","RR4","無","2026/05/08","89.54","35.28","45.5","94.53","186.16","795.4","19.29","1.03","1.61","2026/03/31","6.5334億","5",""
"普徠仕（盧森堡）系列基金－普徠仕歐洲股票基金 A 級別(歐元)","TF2A","歐元","股票型","2007/05/02","RR4","無","2026/05/08","21.22","0.09","5.41","5.89","19.48","112.2","7.44","0.18","0.69","2026/03/31","19.00百萬(歐元)","1.5",""
