標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
安聯目標收益基金-人民幣(月配權)(本基金主要係投資於高風險非投資等級債券基金且配息來源可能為本金),ACDD45-DS070,人民幣,,2015/01/27,RR3,,2026/08/25,5.9811,0.49,0.99,2.46,15.26,,3.67,0.1,0.65,5.9811,1.81億,,已下架但可原定期(不)定額
安聯美國短年期非投資等級債券基金A(累積)-新臺幣(本投資標的於2023/7/1後不提供新契約連結),ACDD90-DS081,台幣,,2019/05/03,RR3,,2026/08/25,10.4479,1.26,1.22,2.4,-1.46,,1.31,0.25,0.19,10.4479,5.18億,,正常狀態
聯博債券收益組合基金A2類型(新臺幣)(本基金得投資於非投資等級之高風險債券基金且配息來源可能為本金),ACTI20-AB094,台幣,,2014/03/19,RR2,,2026/08/25,11.1,1,-0.89,2.4,8.82,,3.39,0.1,0.86,11.1,8.00億,,正常狀態
合庫標普利變特別股收益指數基金B(月配息)-美元(本基金之配息來源可能為本金)*,ACCB37-TCB26,美元,,2018/03/26,RR4,,2026/08/25,7.36,-0.12,0.18,2.4,17.5,,4.17,0.08,0.21,7.36,0.95億,,正常狀態
安聯美國短年期非投資等級債券基金B(月配息)-新臺幣(基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACDD91-DS082,台幣,,2019/05/03,RR3,,2026/08/25,7.1588,1.25,1.75,2.39,-1.47,,1.31,0.25,0.19,7.1588,3.86億,,正常狀態
宏利新興市場非投資等級債券基金-C人民幣避險級別(月配息)(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACAP41-MNU08,人民幣,,2014/09/12,RR4,,2026/08/25,1.279,1,1.48,2.38,21.49,,3.42,0.1,0.91,1.279,0.97億,,正常狀態
合庫標普利變特別股收益指數基金A(累積型)-美元*,ACCB36-TCB27,美元,,2018/03/26,RR4,,2026/08/25,12.48,-0.08,0.24,2.38,17.4,,4.07,0.09,0.2,12.48,0.09億,,正常狀態
摩根亞洲總合非投資等級債券基金(月配息)(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACJF112-JF055,台幣,,2011/09/29,RR4,,2026/08/25,4.3381,1.41,0.32,2.3,12.04,,3.29,0.1,0.86,4.3381,6.58億,,正常狀態
中國信託ESG金融收益多重資產證券投資信託基金B類型(月配息)-美元(本基金有相當比重投資於非投資等級之高風險債券且本基金之配息來源可能為本金)*,ACDS121-CT003,美元,,2023/01/17,RR3,,2026/08/25,9.5884,2.87,2.97,2.28,19.28,,4.73,0.07,0.28,9.5884,0.80億,,正常狀態
安聯四季豐收債券組合基金-人民幣(月配息)(本基金有一定比例之投資包含高風險非投資等級債券基金且配息來源可能為本金),ACDD37-DS048,人民幣,,2014/10/16,RR3,,2026/08/25,7.4017,0.28,-0.66,2.2,13.93,,3.98,0.07,0.89,7.4017,4.90億,,正常狀態
安聯四季豐收債券組合基金-人民幣(月配權)(本基金有一定比例之投資包含高風險非投資等級債券基金且配息來源可能為本金),ACDD37-DS069,人民幣,,2014/10/16,RR3,,2026/08/25,7.4017,0.28,-0.66,2.2,13.93,,3.98,0.07,0.89,7.4017,4.90億,,正常狀態
安聯四季豐收債券組合基金-人民幣(本基金有一定比例之投資包含高風險非投資等級債券基金),ACDD36-DS047,人民幣,,2014/11/04,RR3,,2026/08/25,15.253,0.28,-1.08,2.2,13.91,,3.98,0.07,0.89,15.253,0.90億,,正常狀態
柏瑞多重資產特別收益基金B(月配息)-南非幣(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)*,ACAI204-AIG32,南非幣,,2018/11/30,RR3,,2026/08/25,7.005,0.24,0.39,2.16,20.42,,3.17,0.09,0.92,7.005,0.27億,,正常狀態
