"標的名稱","代碼","幣別","類型","成立日期","風險收益等級","配息頻率","淨值日期","淨值","三個月(%)","六個月(%)","一年(%)","三年(%)","成立以來(%)","年化標準差","年化Sharpe","年化Beta","規模日期","基金規模","嘉實基金評等","備註"
"聯博-房貸收益基金AA(穩定月配)級別美元(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)_(月配/單位數_僅供一生傳富、招財進保、世紀贏家商品連結)","TFP3","美元","債券型","2014/02/20","RR3","月配","2026/05/22","9.36","0.29","1.71","5.55","26.68","56.36","1.38","0.88","0.35","2026/03/31","1712.00百萬(美元)","4","僅供一生傳富/招財進保/世紀贏家商品連結"
"安聯收益成長多重資產基金-B類型(月配息)-新臺幣(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)_(月配/單位數_僅供一生傳富、招財進保、世紀贏家商品連結)","TFP4","台幣","多重資產型","2018/04/23","RR3","月配","2026/05/22","8.58","6.87","10.7","20.15","31.43","56.67","8.2","0.62","0.55","2026/04/30","266.9076億","3","僅供一生傳富/招財進保/世紀贏家商品連結"
"安聯特別收益多重資產基金- B類型(月配息)-美元(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)_(月配/單位數_僅供一生傳富、招財進保、世紀贏家商品連結)","TFP5","美元","多重資產型","2020/07/21","RR3","月配","2026/05/22","7.74","-1.99","-0.25","4.32","17.75","11.08","4.8","0.19","0.28","2026/04/30","1.3788億","1.5","僅供一生傳富/招財進保/世紀贏家商品連結"
"安聯收益成長基金-AM穩定月收類股(美元)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)_(月配/單位數_僅供一生傳富、招財進保、世紀贏家商品連結)","TFP6","美元","平衡型","2012/10/16","RR3","月配","2026/05/22","8.7849","5.46","10.1","17.83","43.75","180.14","8.1","0.56","0.53","2026/03/31","53240.00百萬(美元)","3","僅供一生傳富/招財進保/世紀贏家商品連結"
"安聯收益成長基金-AM穩定月收類股(歐元避險)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)_(月配/單位數_僅供一生傳富、招財進保、世紀贏家商品連結)","TFP7","歐元","平衡型","2013/05/02","RR3","月配","2026/05/22","8.2784","4.9","8.96","15.26","35.93","108.83","8.03","0.48","0.52","2026/03/31","53240.00百萬(美元)","2.5","僅供一生傳富/招財進保/世紀贏家商品連結"
"安聯收益成長基金-AM穩定月收類股(澳幣避險)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)_(月配/單位數_僅供一生傳富、招財進保、世紀贏家商品連結)","TFP8","澳幣","平衡型","2012/10/15","RR3","月配","2026/05/22","8.1039","5.38","9.85","17.1","39.07","177.3","8.11","0.53","0.53","2026/03/31","53240.00百萬(美元)","2.5","僅供一生傳富/招財進保/世紀贏家商品連結"
"安聯歐洲高息股票基金-AM穩定月收類股(美元避險)(本基金之配息來源可能為本金且無保證收益及配息)_(月配/單位數_僅供一生傳富、招財進保、世紀贏家商品連結)","TFP9","美元","股票型","2013/10/02","RR4","月配","2026/05/22","11.5897","-0.03","13.13","14.88","50.31","152.04","14.35","0.28","0.74","2026/03/31","1750.00百萬(歐元)","3.5","僅供一生傳富/招財進保/世紀贏家商品連結"
"聯博-美國收益基金 AT股美元(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)","TFPB","美元","債券型","2002/09/16","RR3","月配","2026/05/22","6.28","-1.41","-0.04","5.01","17.12","191.31","4.15","0.26","1.04","2026/03/31","21861.00百萬(美元)","3.5",""
"聯博-美國收益基金AT股澳幣避險(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)","TFPC","澳幣","債券型","2010/07/30","RR3","月配","2026/05/22","10.19","-1.4","-0.08","4.51","13.69","76.87","4.1","0.23","1.02","2026/03/31","21861.00百萬(美元)","3",""
"元大全球不動產證券化基金(B)-配息型(基金之配息來源可能為本金)","TFPQ","台幣","不動產證券化型","2005/06/02","RR4","月配","2026/05/22","11.8","7.93","23.25","37.3","55.26","102.59","12.22","0.75","0.86","2026/04/30","8.9308億","5",""
"貝萊德全球股票收益基金 A6 美元 (穩定配息)(基金之配息來源可能為本金)","TFPT","美元","股票型","2012/02/01","RR3","月配","2026/05/22","19.84","3.03","12.05","21.73","42.97","177.26","12.94","0.43","0.93","2026/03/31","992.00百萬(美元)","3",""
"貝萊德亞洲老虎債券基金A8多幣別穩定月配息股份-澳幣避險(基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)","TFPU","澳幣","債券型","2013/02/20","RR3","月配","2026/05/22","8.06","-1.32","0.47","7.37","18.1","32.37","3.63","0.47","0.92","2026/03/31","2137.00百萬(美元)","4",""
"安聯美國收益基金-AM穩定月收類股(美元)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)_(月配/單位數_僅供一生傳富、招財進保、世紀贏家商品連結)","TFQ1","美元","債券型","2017/03/01","RR3","月配","2026/05/22","8.1242","-1.18","0.3","5.25","15.73","23.8","3.18","0.36","0.79","2026/03/31","473.00百萬(美元)","3.5","僅供一生傳富/招財進保/世紀贏家商品連結"
"安聯全球收益成長基金-AMf2固定月配類股(美元)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)_(月配/單位數_僅供一生傳富、招財進保、世紀贏家商品連結)(2026/2/6暫停新申購)","TFQ2","美元","平衡型","2022/01/03","RR3","月配","2026/05/22","84.43","1.75","7.58","16.09","38.42","21.61","7.61","0.53","0.54","2026/03/31","871.00百萬(美元)","2.5","★2026/2/6暫停新申購★僅供一生傳富/招財進保/世紀贏家商品連結"
"聯博-全球多元收益基金AD月配級別美元(基金之配息來源可能為本金)_(月配/單位數_僅供一生傳富、招財進保、世紀贏家商品連結)","TFQ5","美元","平衡型","2014/12/11","RR3","月配","2026/05/22","9.25","1.12","5.93","14.87","41.13","57.45","7.66","0.49","0.55","2026/03/31","3409.00百萬(美元)","2.5","僅供一生傳富/招財進保/世紀贏家商品連結"
