"標的名稱","代碼","幣別","類型","成立日期","風險收益等級","配息頻率","淨值日期","淨值","三個月(%)","六個月(%)","一年(%)","三年(%)","成立以來(%)","年化標準差","年化Sharpe","年化Beta","規模日期","基金規模","嘉實基金評等","備註"
"凱基雲端趨勢基金(美元)","TF11","美元","跨國投資股票型全球市場","2018/01/02","RR4","無","2026/06/12","95.5024","47.97","64.89","90.96","176.4","396.96","22.58","0.86","1.57","2026/05/31","0.3427億","5",""
"凱基臺灣多元收益多重資產基金-新臺幣A","TF14","台幣","多重資產型","2019/08/05","RR3","無","2026/06/15","17.13","17.41","25.13","36.06","52","71.3","7.01","1.24","0.35","2026/05/31","4.7204億","3.5",""
"凱基收益成長多重資產基金-新臺幣A(累積)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)","TF15","台幣","多重資產型","2019/09/25","RR3","無","2026/06/12","15.4417","4.89","4.1","16.53","44.24","54.42","7.01","0.59","0.59","2026/05/31","8.211億","2.5",""
"凱基收益成長多重資產基金-美元A(累積)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金)","TF16","美元","多重資產型","2019/09/25","RR3","無","2026/06/12","17.0694","5.58","3.92","13.84","51.21","70.7","6.65","0.52","0.65","2026/05/31","4.9218億","2.5",""
"普徠仕（盧森堡）系列基金－普徠仕全球焦點成長股票基金A級別(美元)","TF17","美元","股票型","2003/03/28","RR4","無","2026/06/12","115.81","18.05","17.2","33.79","79.02","1058.1","12.62","0.66","1.17","2026/04/30","4614.00百萬(美元)","4.5",""
"普徠仕（盧森堡）系列基金－普徠仕新興市場股票基金A級別(美元)","TF18","美元","股票型","2004/10/26","RR5","無","2026/06/12","41.35","21.69","29.66","55.33","55.04","313.5","15.09","0.85","1.32","2026/04/30","129.00百萬(美元)","3",""
"普徠仕（盧森堡）系列基金－普徠仕全球成長股票基金A級別(美元)","TF19","美元","股票型","2008/10/27","RR4","無","2026/06/12","83.89","11.9","7.1","19.35","58.25","738.9","10.92","0.45","1.09","2026/04/30","428.00百萬(美元)","3",""
"凱基新興市場中小基金(美元)","TF1Y","美元","跨國投資股票型區域型","2018/01/02","RR5","無","2026/06/12","42.9594","23.96","51.41","89.51","139.78","131.68","21.25","0.9","1.23","2026/05/31","0.6251億","3.5",""
"凱基雲端趨勢基金(台幣)","TF1Z","台幣","跨國投資股票型全球市場","2012/09/13","RR4","無","2026/06/12","101.17","46.92","67.09","103.56","184.19","911.7","21.17","1.01","1.47","2026/05/31","9.5374億","5",""
"普徠仕（盧森堡）系列基金－普徠仕歐洲股票基金 A 級別(歐元)","TF2A","歐元","股票型","2007/05/02","RR4","無","2026/06/12","21.92","6.77","6.46","6.41","23.42","119.2","9.3","0.17","0.8","2026/04/30","18.00百萬(歐元)","1.5",""
"合庫AI電動車及車聯網創新基金(美元)","TF2B","美元","跨國投資股票型全球市場","2019/03/19","RR4","無","2026/06/12","28.5","32.5","33.8","61.66","105.48","185","21.48","0.67","0.89","2026/05/31","2.8153億","4",""
"元大台灣高股息優質龍頭基金(A級別/不配息級別)(本基金之配息來源可能為收益平準金且並無保證收益及配息)","TF2E","台幣","國內股票開放型一般股票型","2020/03/23","RR4","無","2026/06/15","48.33","57.74","115.37","163.24","246.45","383.3","24.71","1.19","0.94","2026/05/31","540.4862億","2.5",""
"摩根太平洋科技基金","TF2H","美元","資訊科技股","1997/08/15","RR5","無","2026/06/12","184.98","44.21","51.98","96.79","136.12","N/A","23.69","0.86","0.75","2026/04/30","1051.00百萬(美元)","4.5",""
"摩根基金 - 全球成長基金 - JPM全球成長(美元) - A股(累計)","TF2L","美元","股票型","2005/03/31","RR4","無","2026/06/12","37.87","8.08","2.66","11.68","66.02","278.7","10.42","0.29","0.95","2026/04/30","482.00百萬(美元)","3.5",""
"安聯台灣大壩基金-A類型-新臺幣","TF2O","台幣","國內股票開放型一般股票型","2000/04/10","RR4","無","2026/06/15","331.84","53.33","112.04","245.59","385.64","3218.4","20.2","1.87","0.71","2026/05/31","925.778億","5",""
"安聯AI人工智慧基金-AT累積類股(美元)","TF2R","美元","資訊科技股","2017/03/31","RR4","無","2026/06/12","42.7374","23.28","21.51","50.71","87.15","327.37","16.79","0.72","0.55","2026/04/30","8122.00百萬(美元)","3",""
"安聯主題趨勢基金-AT累積類股(美元)","TF2S","美元","股票型","2019/01/25","RR4","無","2026/06/12","195.93","4.5","5.85","14.46","24.96","95.93","8.98","0.41","0.73","2026/04/30","2614.00百萬(美元)","2",""
"安聯綠色債券基金-AT累積類股(美元避險)","TF2V","美元","債券型","2018/11/02","RR2","無","2026/06/12","10.7202","0.87","1.13","2.63","14.38","7.2","2.12","0.19","0.57","2026/04/30","404.00百萬(歐元)","3",""
"凱基開創基金","TF35","台幣","國內股票開放型一般股票型","2001/10/08","RR4","無","2026/06/15","221.35","56.35","117.05","226.86","248.03","2113.5","22.96","1.58","0.84","2026/05/31","14.351億","4",""
